uniprot,target_name
P06401,von Hippel-Lindau disease tumor suppressor/Progesterone receptor
Q99835,Protein smoothened
O75762,Transient receptor potential cation channel subfamily A member 1
Q96S37,Solute carrier family 22 member 12
Q02763,Angiopoietin-1 receptor
Q02763,Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2)
P49763,Placenta growth factor
Q4U2R8,Solute carrier family 22 member 6
Q8TCC7,Organic anion transporter 3
P48058,Glutamate receptor 4
P48058,Glutamate receptor ionotropic AMPA
P48058,Glutamate receptor AMPA 3/4
P42263,Glutamate receptor 3
P42263,Glutamate receptor ionotropic AMPA
P42263,Glutamate receptor AMPA 2/3
P42263,Glutamate receptor AMPA 3/4
P42262,Glutamate receptor 2
P42262,Glutamate receptor ionotropic AMPA
P42262,Glutamate receptor AMPA 2/3
P42262,Glutamate receptor AMPA 1/2
P42261,Glutamate receptor 1
P42261,Glutamate receptor ionotropic AMPA
P42261,Glutamate receptor AMPA 1/2
P42261,GRIA1/CACNG8
P42261,GRIA1/CACNG2
P24530,Endothelin receptor type B
P24530,"Endothelin receptor, ET-A/ET-B"
P25101,Endothelin-1 receptor
P25101,"Endothelin receptor, ET-A/ET-B"
Q9NSA0,Solute carrier family 22 member 11
P17787,Neuronal acetylcholine receptor subunit beta-2
P17787,Neuronal acetylcholine receptor; alpha4/beta2
P17787,Neuronal acetylcholine receptor; alpha3/alpha6/beta2/beta3
P17787,Neuronal acetylcholine receptor; alpha3/beta2
P17787,Neuronal acetylcholine receptor; alpha2/beta2
P17787,Neuronal acetylcholine receptor; alpha6/beta2
P17787,Nicotinic acetylcholine receptor alpha3/betaX
P17787,"Neuronal acetylcholine receptors; alpha-3/beta-4, alpha-5, beta-2"
P17787,Nicotinic acetylcholine receptor alpha2/beta2
P17787,Nicotinic acetylcholine receptor alpha4/beta2/alpha5
P17787,Nicotinic acetylcholine receptor alpha3/beta2/alpha5
P17787,Integrin alpha-5/Neuronal acetylcholine receptor subunit alpha-3/Neuronal acetylcholine receptor subunit beta-2/Neuronal acetylcholine receptor subunit beta-4
P17787,Nicotinic Acetylcholine Receptor
P17787,Neuronal acetylcholine receptor
P43681,Neuronal acetylcholine receptor subunit alpha-4
P43681,Neuronal acetylcholine receptor; alpha4/beta2
P43681,Neuronal acetylcholine receptor; alpha4/beta4
P43681,Nicotinic acetylcholine receptor alpha4/beta2/alpha5
P43681,Nicotinic Acetylcholine Receptor
P43681,Neuronal acetylcholine receptor
P25092,Guanylyl cyclase C
P14324,Farnesyl pyrophosphate synthase
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase
P04035,Protein cereblon/HMG-CoA reductase
P04035,von Hippel-Lindau disease tumor suppressor/HMGCR
P27815,"3',5'-cyclic-AMP phosphodiesterase 4A"
P27815,Phosphodiesterase 4
P27815,Phosphodiesterase; PDE3 & PDE4
P27815,Phosphodiesterase 4 and 5 (PDE4 and PDE5)
P27815,"3',5'-cyclic phosphodiesterase"
Q08499,"3',5'-cyclic-AMP phosphodiesterase 4D"
Q08499,Phosphodiesterase 4
Q08499,Phosphodiesterase; PDE3 & PDE4
Q08499,Phosphodiesterase 4 and 5 (PDE4 and PDE5)
Q08499,"3',5'-cyclic phosphodiesterase"
Q07343,"3',5'-cyclic-AMP phosphodiesterase 4B"
Q07343,Phosphodiesterase 4
Q07343,Phosphodiesterase; PDE3 & PDE4
Q07343,Phosphodiesterase 4 and 5 (PDE4 and PDE5)
Q07343,"3',5'-cyclic phosphodiesterase"
Q08493,"3',5'-cyclic-AMP phosphodiesterase 4C"
Q08493,Phosphodiesterase 4
Q08493,Phosphodiesterase; PDE3 & PDE4
Q08493,Phosphodiesterase 4 and 5 (PDE4 and PDE5)
Q08493,"3',5'-cyclic phosphodiesterase"
Q92769,Histone deacetylase 2
Q92769,Histone deacetylase
Q92769,Histone deacetylase (HDAC1 and HDAC2)
Q92769,Histone deacetylase 1/2/3/6
Q92769,Histone deacetylase 1/2/3
Q92769,Histone deacetylase 2/Nuclear receptor corepressor 2
Q92769,Protein cereblon/Histone deacetylase 2
Q92769,Class 1 histone deacetylase
Q92769,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 2
Q92769,MDM2-HDAC2
Q92769,von Hippel-Lindau disease tumor suppressor/LSD1/HDAC2/RCOR1
Q9UQL6,Histone deacetylase 5
Q9UQL6,Histone deacetylase
Q9UQL6,Histone deacetylase 1/3/5/8
Q9UQL6,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 5
Q8WUI4,Histone deacetylase 7
Q8WUI4,Histone deacetylase
Q8WUI4,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 7
Q9BY41,Histone deacetylase 8
Q9BY41,Histone deacetylase
Q9BY41,Histone deacetylase 1/3/5/8
Q9BY41,Histone deacetylase 1/8
Q9BY41,Class 1 histone deacetylase
Q9BY41,Protein cereblon/Histone deacetylase 8
Q9BY41,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 8
Q96DB2,Histone deacetylase 11
Q96DB2,Histone deacetylase
P56524,Histone deacetylase 4
P56524,Histone deacetylase
P56524,Protein cereblon/Histone deacetylase 4
P56524,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 4
P56524,Histone deacetylase 4/Myocyte-specific enhancer factor 2D
Q9UKV0,Histone deacetylase 9
Q9UKV0,Histone deacetylase
Q9UKV0,von Hippel-Lindau disease tumor suppressor/HDAC9
Q9UKV0,Protein cereblon-HDAC9
Q969S8,Polyamine deacetylase HDAC10
Q969S8,Histone deacetylase
P05106,Integrin beta-3
P05106,Integrin alpha-V/beta-3
P05106,Integrin alpha-IIb/beta-3
P05106,Fibronectin receptor (Integrin alpha-5/beta-1 and alpha-V/beta-3)
P05106,Integrin alpha-V/beta-3 and alpha-IIb/beta 3
P05106,Integrin alpha-2/beta-3
P05106,Integrin alpha-V/beta-3/alpha-V/beta-5
P08514,Integrin alpha-IIb
P08514,Integrin alpha-IIb/beta-3
P08514,Integrin alpha-V/beta-3 and alpha-IIb/beta 3
P20648,Potassium-transporting ATPase
P51164,Potassium-transporting ATPase
P07451,Carbonic anhydrase 3
P07451,Carbonic anhydrase
P23280,Carbonic anhydrase 6
P23280,Carbonic anhydrase
Q9ULX7,Carbonic anhydrase 14
Q9ULX7,Carbonic anhydrase
Q16790,Carbonic anhydrase 9
Q16790,Carbonic anhydrase
Q16790,Carbonic anhydrases; II & IX
Q8N1Q1,Carbonic anhydrase 13
Q8N1Q1,Carbonic anhydrase
Q9Y2D0,"Carbonic anhydrase 5B, mitochondrial"
Q9Y2D0,Carbonic anhydrase
Q9Y2D0,Carbonic anhydrase V
P35218,"Carbonic anhydrase 5A, mitochondrial"
P35218,Carbonic anhydrase
P35218,Carbonic anhydrase V
P41145,Kappa-type opioid receptor
P41145,Opioid receptors; delta & kappa
P41145,Opioid receptors; mu & kappa
P41145,Opioid receptors; mu/kappa/delta
P41143,Delta-type opioid receptor
P41143,Opioid receptors; mu & delta
P41143,Opioid receptors; delta & kappa
P41143,Opioid receptors; mu/kappa/delta
P68371,Tubulin beta-4B chain
P68371,Tubulin
P68371,Tubulin beta
P68371,Protein cereblon/Tubulin beta
Q9H4B7,Tubulin beta-1 chain
Q9H4B7,Tubulin
Q9H4B7,Tubulin beta
Q9H4B7,Protein cereblon/Tubulin beta
P0DPH7,Tubulin
P0DPH7,Tubulin alpha
P0DPH7,Protein cereblon-alpha tubulin
P68366,Tubulin alpha-4A chain
P68366,Tubulin
P68366,Tubulin alpha
P68366,Protein cereblon-alpha tubulin
Q13509,Tubulin beta-3 chain
Q13509,Tubulin
Q13509,Tubulin beta
Q13509,Protein cereblon/Tubulin beta-3 chain
Q13509,Protein cereblon/Tubulin beta
Q71U36,Tubulin alpha-1A chain
Q71U36,Tubulin
Q71U36,Tubulin alpha
Q71U36,Tubulin alpha-1A /beta chains
Q71U36,Protein cereblon-alpha tubulin
P04350,Tubulin beta-4A chain
P04350,Tubulin
P04350,Tubulin beta
P04350,Protein cereblon/Tubulin beta
Q3ZCM7,Tubulin beta-8 chain
Q3ZCM7,Tubulin
Q3ZCM7,Tubulin beta
Q3ZCM7,Protein cereblon/Tubulin beta
P07437,Tubulin beta-5 chain
P07437,Tubulin
P07437,Tubulin beta
P07437,Tubulin alpha-1A /beta chains
P07437,Protein cereblon/Tubulin beta
P68363,Tubulin
P68363,Tubulin alpha-1B chain
P68363,Tubulin alpha
P68363,Protein cereblon-alpha tubulin
Q9BQE3,Tubulin
Q9BQE3,Tubulin alpha-1C chain
Q9BQE3,Tubulin alpha
Q9BQE3,Protein cereblon-alpha tubulin
Q6PEY2,Tubulin
Q6PEY2,Tubulin alpha
Q6PEY2,Protein cereblon-alpha tubulin
Q13885,Tubulin
Q13885,Tubulin beta-2A chain
Q13885,Tubulin beta
Q13885,Protein cereblon/Tubulin beta
Q9BVA1,Tubulin
Q9BVA1,Tubulin beta
Q9BVA1,Protein cereblon/Tubulin beta
Q9BVA1,Tubulin beta-2B chain
Q9BUF5,Tubulin
Q9BUF5,Tubulin beta
Q9BUF5,Protein cereblon/Tubulin beta
Q9BUF5,Tubulin beta-6 chain
P13612,Integrin alpha-4
P13612,Integrin alpha-4/beta-1
P13612,Integrin alpha-4/beta-7
P26010,Integrin beta-7
P26010,Integrin alpha-4/beta-7
P26010,Integrin alpha4/beta7 complex
P49840,Glycogen synthase kinase-3 alpha
P49840,Glycogen synthase kinase-3
P49841,Glycogen synthase kinase-3 beta
P49841,Glycogen synthase kinase-3
P49841,Axin-1/Glycogen synthase kinase-3 beta
P16234,Platelet-derived growth factor receptor alpha
P16234,Platelet-derived growth factor receptor
P16234,Protein cereblon/Platelet-derived growth factor receptor alpha
P11274,Breakpoint cluster region protein
P11274,Bcr/Abl fusion protein
P11274,Baculoviral IAP repeat-containing protein 2/BCR/ABL
P11274,E3 ubiquitin-protein ligase XIAP/BCR/ABL
P11274,Protein cereblon/BCR/ABL
P11274,von Hippel-Lindau disease tumor suppressor/BCR-ABL1
P07550,Beta-2 adrenergic receptor
P07550,Adrenergic receptor beta
P07550,Adrenergic receptor beta; ADRB1 & ADRB2
P07550,Beta-2 adrenergic receptor and beta-3 adrenergic receptor
P07550,Adrenergic receptor
Q05586,"Glutamate receptor ionotropic, NMDA 1"
Q05586,Glutamate NMDA receptor; GRIN1/GRIN2B
Q05586,Glutamate NMDA receptor; GRIN1/GRIN2A
Q05586,Glutamate [NMDA] receptor
Q05586,Ionotropic glutamate receptor NMDA 1/2C
Q05586,Ionotropic glutamate receptor NMDA 1/2D
Q05586,Glutamate NMDA receptor; GRIN1/GRIN2A/GRIN2B
Q05586,"Glutamate receptor ionotropic, NMDA 1/2C/3B"
Q13224,"Glutamate receptor ionotropic, NMDA 2B"
Q13224,Glutamate NMDA receptor; GRIN1/GRIN2B
Q13224,Glutamate [NMDA] receptor
Q13224,Glutamate NMDA receptor; GRIN1/GRIN2A/GRIN2B
O15399,"Glutamate receptor ionotropic, NMDA 2D"
O15399,Glutamate [NMDA] receptor
O15399,Ionotropic glutamate receptor NMDA 1/2D
O60391,Glutamate [NMDA] receptor
O60391,"Glutamate receptor ionotropic, NMDA 1/2C/3B"
Q14957,"Glutamate receptor ionotropic, NMDA 2C"
Q14957,Glutamate [NMDA] receptor
Q14957,Ionotropic glutamate receptor NMDA 1/2C
Q14957,"Glutamate receptor ionotropic, NMDA 1/2C/3B"
Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
Q8TCU5,Glutamate [NMDA] receptor
Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A"
Q14432,Phosphodiesterase 3
Q14432,Phosphodiesterase; PDE3 & PDE4
Q14432,Phosphodiesterase 3 and 5 (PDE3 and PDE5)
Q14432,"3',5'-cyclic phosphodiesterase"
Q13370,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B"
Q13370,Phosphodiesterase 3
Q13370,Phosphodiesterase; PDE3 & PDE4
Q13370,Phosphodiesterase 3 and 5 (PDE3 and PDE5)
Q13370,"3',5'-cyclic phosphodiesterase"
P48039,Melatonin receptor type 1A
P48039,Melatonin receptor
P49286,Melatonin receptor type 1B
P49286,Melatonin receptor
P08913,Alpha-2A adrenergic receptor
P08913,Adrenergic receptor alpha-2
P08913,Adrenergic receptor alpha
P08913,Adrenergic receptor
P08913,Mu opioid receptor/Alpha-2A adrenergic receptor
P08913,Adenosine receptor A1/Alpha-2A adrenergic receptor
P18825,Alpha-2C adrenergic receptor
P18825,Adrenergic receptor alpha-2
P18825,Adrenergic receptor alpha
P18825,Adrenergic receptor
P18089,Alpha-2B adrenergic receptor
P18089,Adrenergic receptor alpha-2
P18089,Adrenergic receptor alpha
P18089,Adrenergic receptor
P21918,D(1B) dopamine receptor
P21918,Dopamine receptor
P21917,D(4) dopamine receptor
P21917,Dopamine receptors; D2 & D4
P21917,Dopamine receptor
P21917,Dopamine receptors; D3 & D4
P21917,D2-like dopamine receptor
P39086,"Glutamate receptor ionotropic, kainate 1"
P39086,Glutamate receptor ionotropic kainate
Q16478,"Glutamate receptor ionotropic, kainate 5"
Q16478,Glutamate receptor ionotropic kainate
Q16478,Ionotropic glutamate receptor kainate 2/5
Q16099,Glutamate receptor ionotropic kainate
Q13002,"Glutamate receptor ionotropic, kainate 2"
Q13002,Glutamate receptor ionotropic kainate
Q13002,Ionotropic glutamate receptor kainate 2/5
Q13003,"Glutamate receptor ionotropic, kainate 3"
Q13003,Glutamate receptor ionotropic kainate
O60894,"Calcitonin-gene-related peptide receptor, CALCRL/RAMP1"
O60894,"Amylin receptor AMY1, CALCR/RAMP1"
O60896,Amylin receptor AMY3; CALCR/RAMP3
O60896,"Adrenomedullin receptor, AM2; CALCRL/RAMP3"
P25100,Alpha-1D adrenergic receptor
P25100,Adrenergic receptor alpha-1
P25100,Adrenergic receptor alpha
P25100,Alpha adrenergic receptor (1a and 1d)
P25100,Adrenergic receptor
P35368,Alpha-1B adrenergic receptor
P35368,Adrenergic receptor alpha-1
P35368,Adrenergic receptor alpha
P35368,Adrenergic receptors; alpha-1 A & B
P35368,Adrenergic receptor
P35354,Prostaglandin G/H synthase 2
P35354,Cyclooxygenase
P35354,Prostaglandin E synthase/G/H synthase 2
P35354,COX-1/COX-2
P23219,Prostaglandin G/H synthase 1
P23219,Cyclooxygenase
P23219,COX-1/COX-2
Q02880,DNA topoisomerase 2-beta
Q02880,DNA topoisomerase II
P29275,Adenosine receptor A2b
P29275,Adenosine A2 receptor
P29275,Adenosine receptors; A2b & A3
P29275,Adenosine receptors; A1 & A2
P29275,Adenosine receptors; A1 & A2b
P29275,Adenosine receptor
P29275,Adenosine receptors; A2a & A2b
P30542,Adenosine receptor A1
P30542,Adenosine receptors; A1 & A3
P30542,Adenosine receptors; A1 & A2
P30542,Adenosine receptors; A1 & A2b
P30542,Adenosine receptors; A1 & A2a
P30542,Adenosine receptor
P30542,Adenosine receptor A1/Alpha-2A adrenergic receptor
P30542,Protein cereblon/ADORA1
P0DMS8,Adenosine receptor A3
P0DMS8,Adenosine receptors; A1 & A3
P0DMS8,Adenosine receptors; A2a & A3
P0DMS8,Adenosine receptors; A2b & A3
P0DMS8,Adenosine receptor
Q02153,Soluble guanylate cyclase
Q02153,Soluble guanylate cyclase alpha1/beta1 complex
O75343,Soluble guanylate cyclase
P33402,Soluble guanylate cyclase
Q02108,Soluble guanylate cyclase
Q02108,Soluble guanylate cyclase alpha1/beta1 complex
P12268,Inosine-5'-monophosphate dehydrogenase 2
P12268,Inosine-5'-monophosphate dehydrogenase (IMPDH)
Q13946,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A"
Q13946,Phosphodiesterase 7
Q13946,"3',5'-cyclic phosphodiesterase"
Q9NP56,"3',5'-cyclic-AMP phosphodiesterase 7B"
Q9NP56,Phosphodiesterase 7
Q9NP56,"3',5'-cyclic phosphodiesterase"
P31391,Somatostatin receptor type 4
P31391,Somatostatin receptor
O60706,ATP-binding cassette sub-family C member 9
O60706,Sulfonylurea receptors; K-ATP channels
O60706,"Sulfonylurea receptor 2, Kir6.2"
P21397,Amine oxidase [flavin-containing] A
P21397,Monoamine oxidase
Q09428,ATP-binding cassette sub-family C member 8
Q09428,Sulfonylurea receptors; K-ATP channels
Q09428,"Sulfonylurea receptor 1, Kir6.2"
P37088,Amiloride-sensitive sodium channel subunit alpha
P37088,"Amiloride-sensitive sodium channel, ENaC"
P51168,Amiloride-sensitive sodium channel subunit beta
P51168,"Amiloride-sensitive sodium channel, ENaC"
P51170,Amiloride-sensitive sodium channel subunit gamma
P51170,"Amiloride-sensitive sodium channel, ENaC"
P13639,Elongation factor 2
P23921,Ribonucleoside-diphosphate reductase large subunit
P23921,Ribonucleoside-diphosphate reductase RR1
P23921,Ribonucleotide reductase
Q7LG56,Ribonucleoside-diphosphate reductase RR1
Q7LG56,Ribonucleotide reductase
P31350,Ribonucleoside-diphosphate reductase subunit M2
P31350,Ribonucleoside-diphosphate reductase RR1
P17948,Vascular endothelial growth factor receptor 1
P17948,Vascular endothelial growth factor receptor
P17948,Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR)
P17948,VEGFR1-VEGA
P35916,Vascular endothelial growth factor receptor 3
P35916,Vascular endothelial growth factor receptor
P35916,Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4)
P35916,Focal adhesion kinase 1/vascular endothelial growth factor receptor 3
Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
Q13936,Voltage-gated L-type calcium channel
Q13936,Voltage-gated calcium channel
Q13936,Voltage-dependent L-type calcium channel alpha1C/alpha2delta/beta1b
Q13936,L-type calcium channel alpha-1c/beta-2/alpha2delta-1
Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C/L-type calcium channel subunit beta-3/calcium channel subunit alpha-2/delta-1
Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S
Q13698,Voltage-gated L-type calcium channel
Q13698,Voltage-gated calcium channel
Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D
Q01668,Voltage-gated L-type calcium channel
Q01668,Voltage-gated calcium channel
O60840,Voltage-gated L-type calcium channel
O60840,Voltage-gated calcium channel
D2K2A8,Hepatitis C virus NS4A protein
D2K2A8,"Hepatitis C virus serine protease, NS3/NS4A"
A3EZI9,"Hepatitis C virus serine protease, NS3/NS4A"
P06276,Cholinesterase
P06276,Cholinesterases; ACHE & BCHE
P01584,Interleukin-1 beta
P06821,Matrix protein 2
P30926,Neuronal acetylcholine receptor; alpha4/beta4
P30926,Neuronal acetylcholine receptor; alpha3/beta4
P30926,Neuronal acetylcholine receptor; alpha2/beta4
P30926,Nicotinic acetylcholine receptor alpha3/betaX
P30926,"Neuronal acetylcholine receptors; alpha-3/beta-4, alpha-5, beta-2"
P30926,Nicotinic acetylcholine receptor alpha2/beta4
P30926,Nicotinic acetylcholine receptor alpha3/beta4/alpha5
P30926,Nicotinic acetylcholine receptor alpha6/alpha3/beta4
P30926,Integrin alpha-5/Neuronal acetylcholine receptor subunit alpha-3/Neuronal acetylcholine receptor subunit beta-2/Neuronal acetylcholine receptor subunit beta-4
P30926,Nicotinic Acetylcholine Receptor
P30926,Neuronal acetylcholine receptor
P32297,Neuronal acetylcholine receptor subunit alpha-3
P32297,Neuronal acetylcholine receptor; alpha3/beta4
P32297,Neuronal acetylcholine receptor; alpha3/alpha6/beta2/beta3
P32297,Neuronal acetylcholine receptor; alpha3/beta2
P32297,Nicotinic acetylcholine receptor alpha3/betaX
P32297,"Neuronal acetylcholine receptors; alpha-3/beta-4, alpha-5, beta-2"
P32297,Nicotinic acetylcholine receptor alpha3/beta2/alpha5
P32297,Nicotinic acetylcholine receptor alpha3/beta4/alpha5
P32297,Nicotinic acetylcholine receptor alpha6/alpha3/beta4
P32297,Integrin alpha-5/Neuronal acetylcholine receptor subunit alpha-3/Neuronal acetylcholine receptor subunit beta-2/Neuronal acetylcholine receptor subunit beta-4
P32297,Nicotinic Acetylcholine Receptor
P32297,Neuronal acetylcholine receptor
P32297,Neuronal acetylcholine receptor subunit alpha-6/alpha-3
P06756,Integrin alpha-V
P06756,Integrin alpha-V/beta-3
P06756,Integrin alpha-V/beta-5
P06756,Integrin alpha-V/beta-6
P06756,Fibronectin receptor (Integrin alpha-5/beta-1 and alpha-V/beta-3)
P06756,Integrin alpha-V/beta-3 and alpha-IIb/beta 3
P06756,Integrin alpha-V/beta-1
P06756,Integrin alpha-V/beta-8
P06756,Integrin alpha-V/alpha-5
P06756,Integrin alpha-V/beta-3/alpha-V/beta-5
P05556,Integrin beta-1
P05556,Integrin alpha-4/beta-1
P05556,Integrin alpha-5/beta-1
P05556,Fibronectin receptor (Integrin alpha-5/beta-1 and alpha-V/beta-3)
P05556,Integrin alpha-V/beta-1
P05556,Integrin alpha2/beta1
P05556,Integrin alpha1/beta1 complex
P05556,Integrin alpha-10/Integrin beta-1
P05556,ITGA6-ITGB1 complex
P05556,ITGB1-ITGA9 complex
P05556,Integrin alpha-8/beta-1
Q14145,Kelch-like ECH-associated protein 1
Q14145,Keap1/Nrf2
Q14145,Keap1-p62
Q14145,KEAP1/Microtubule-associated protein tau
Q14145,KEAP1/Cullin-3/Microtubule-associated protein tau
Q15413,Ryanodine receptor 3
P10827,Thyroid hormone receptor alpha
P10827,Thyroid hormone receptor
P10828,Thyroid hormone receptor beta
P10828,Thyroid hormone receptor
Q9UBS5,Gamma-aminobutyric acid type B receptor subunit 1
Q9UBS5,GABA-B receptor
O75899,Gamma-aminobutyric acid type B receptor subunit 2
O75899,GABA-B receptor
P32754,4-hydroxyphenylpyruvate dioxygenase
P11926,Ornithine decarboxylase
P10275,Androgen receptor
P10275,Androgen receptor/Baculoviral IAP repeat-containing protein 2
P10275,Androgen receptor/PELP1
P10275,Protein cereblon/Androgen receptor
P10275,von Hippel-Lindau disease tumor suppressor/Androgen receptor
P10275,Protein cereblon/CUL4A/AR
Q13639,5-hydroxytryptamine receptor 4
Q13639,Serotonin (5-HT) receptor
P30531,Sodium- and chloride-dependent GABA transporter 1
P15538,"Cytochrome P450 11B1, mitochondrial"
P31358,CAMPATH-1 antigen
P25103,Substance-P receptor
P00742,Coagulation factor X
P00742,Coagulation factor VII and X
P00742,Coagulation factor X and plasma kallikrein
P00742,Coagulation factor IX and X
P00742,Coagulation factor X/antithrombin III
P00742,Thrombin and coagulation factor X
P00742,Prothrombinase complex
P00742,Coagulation factor V/Coagulation factor X/Serine/threonine-protein kinase BRSK2
P49895,Type I iodothyronine deiodinase
P49895,Deiodinase
Q9UHC9,NPC1-like intracellular cholesterol transporter 1
P9WQA9,Alanine racemase
P80404,"4-aminobutyrate aminotransferase, mitochondrial"
Q14626,Interleukin-11 receptor subunit alpha
P0A8V2,DNA-directed RNA polymerase subunit beta
P0A8V2,Bacterial DNA-directed RNA polymerase
P0A8V2,DNA-directed RNA polymerase
P0A7Z4,Bacterial DNA-directed RNA polymerase
P0A7Z4,DNA-directed RNA polymerase
P0A8T7,Bacterial DNA-directed RNA polymerase
P0A8T7,DNA-directed RNA polymerase
P0A800,Bacterial DNA-directed RNA polymerase
P0A800,DNA-directed RNA polymerase
O13428,"Beta-1,3-glucan synthase"
O13428,"1,3-beta-glucan synthase"
Q4WLT4,"1,3-beta-glucan synthase"
P08684,Cytochrome P450 3A4
P08684,Cytochrome P450 3A4/3A5
P08684,Cytochrome P450 3A
P08684,Cytochrome P450
P20815,Cytochrome P450 3A5
P20815,Cytochrome P450 3A4/3A5
P20815,Cytochrome P450 3A
P20815,Cytochrome P450
Q9HB55,Cytochrome P450 3A43
Q9HB55,Cytochrome P450 3A
Q9HB55,Cytochrome P450
P24462,Cytochrome P450 3A
P24462,Cytochrome P450 3A7
P24462,Cytochrome P450
A0A1I7W5Q0,Nematode GABA-A receptor
A0A1I7W5G9,Nematode GABA-A receptor
P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
Q4JEY0,Squalene monooxygenase
P12461,Thymidylate synthase
P55157,Microsomal triglyceride transfer protein large subunit
P55157,Microsomal triglyceride transfer protein
P07237,Protein disulfide-isomerase
P07237,Microsomal triglyceride transfer protein
Q03282,Bacterial urease
Q03283,Bacterial urease
Q03284,Bacterial urease
P10211,Envelope glycoprotein
P10228,Envelope glycoprotein
Q69091,Envelope glycoprotein
P04488,Envelope glycoprotein
P06484,Envelope glycoprotein
P06477,Envelope glycoprotein
P06487,Envelope glycoprotein
P06480,Envelope glycoprotein
P68331,Envelope glycoprotein
P10185,Envelope glycoprotein
P04288,Envelope glycoprotein
O09800,Envelope glycoprotein
P42081,T-lymphocyte activation antigen CD86
P33681,T-lymphocyte activation antigen CD80
Q9Y275,Tumor necrosis factor ligand superfamily member 13B
P60880,Synaptosomal-associated protein 25
P63027,Vesicle-associated membrane protein 2
P28908,Tumor necrosis factor receptor superfamily member 8
O14788,Tumor necrosis factor ligand superfamily member 11
P01031,Complement C5
P16410,Cytotoxic T-lymphocyte protein 4
Q89535,Fusion glycoprotein F0
Q51504,Penicillin-binding protein 3
Q51504,Penicillin-binding protein
Q9X6V3,Penicillin-binding protein 2
Q9X6V3,Penicillin-binding protein
Q9X6W0,Penicillin-binding protein 1B
Q9X6W0,Penicillin-binding protein
Q51505,Penicillin-binding protein
Q9X6V7,Penicillin-binding protein
Q07806,Penicillin-binding protein
Q07806,Penicillin-binding protein 1A
P72355,Penicillin-binding protein 4
P72355,Penicillin-binding protein
Q9XDB3,Penicillin-binding protein 2b
Q9XDB3,Penicillin-binding protein
Q53707,Penicillin-binding protein 2a
Q53707,Penicillin-binding protein
Q53729,Penicillin-binding protein 2
Q53729,Penicillin-binding protein
Q53725,Penicillin-binding protein 1
Q53725,Penicillin-binding protein
P25391,Laminin
P25391,Laminin subunit alpha-1
P24043,Laminin
Q16787,Laminin
Q16363,Laminin
O15230,Laminin
P07942,Laminin
P07942,Protein cereblon/Laminin subunit beta-1
P55268,Laminin
Q13751,Laminin
A4D0S4,Laminin
P11047,Laminin
Q13753,Laminin
Q9Y6N6,Laminin
P08123,Collagen alpha-2(I) chain
P08123,Collagen
P02452,Collagen alpha-1(I) chain
P02452,Collagen
P02458,Collagen
P02458,Collagen alpha-1(II) chain
P02461,Collagen
P02462,Collagen
P20908,Collagen
P12109,Collagen
P12107,Collagen
P39059,Collagen
P39060,Collagen
Q17RW2,Collagen
Q8IZC6,Collagen
Q2UY09,Collagen
P08572,Collagen
P05997,Collagen
P12110,Collagen
P13942,Collagen
Q01955,Collagen
P25940,Collagen
P12111,Collagen
P53420,Collagen
P53420,Collagen alpha-4(IV) chain
P29400,Collagen
A8TX70,Collagen
Q14031,Collagen
A6NMZ7,Collagen
Q99460,26S proteasome regulatory subunit S1
Q99460,26S proteasome
P49721,Proteasome Macropain subunit
P49721,26S proteasome
P49721,20S proteasome
P20618,Proteasome component C5
P20618,26S proteasome
P20618,20S proteasome
P20618,Proteasome subunit beta type-1/beta type-5
P28074,Proteasome Macropain subunit MB1
P28074,26S proteasome
P28074,20S proteasome
P28074,Proteasome subunit beta type-1/beta type-5
P28062,Proteasome subunit beta type-8
P28062,26S proteasome
P28062,20S proteasome
P28065,Proteasome subunit beta type-9
P28065,26S proteasome
P28065,20S proteasome
P28072,Proteasome subunit beta type-6
P28072,26S proteasome
P28072,20S proteasome
O00487,26S proteasome non-ATPase regulatory subunit 14
O00487,26S proteasome
P25786,26S proteasome
P25786,20S proteasome
P25786,Proteasome subunit alpha type-1
P25787,26S proteasome
P25787,20S proteasome
P25787,Proteasome subunit alpha type-2
P25788,26S proteasome
P25788,20S proteasome
P25788,Proteasome subunit alpha type-3
P25789,26S proteasome
P25789,20S proteasome
P25789,Proteasome subunit alpha type-4
P28066,26S proteasome
P28066,20S proteasome
P28066,Proteasome subunit alpha type-5
