doid,disease_name,community,embedding
DOID:1192,peripheral nervous system neoplasm,21052,"[-0.26473352313041687, 0.04953619837760925, 0.1898205727338791, -0.19202961027622223, 0.037416741251945496, -0.053726501762866974, 0.028453417122364044, -0.025692168623209, 0.46716710925102234, 0.04362395405769348, 0.07680411636829376, 0.006885543465614319, 0.019918210804462433, -0.03415481746196747, -0.04112531617283821, -0.01229940727353096, 0.18067622184753418, 0.12104048579931259, -0.14353018999099731, 0.31781822443008423, -0.16983133554458618, -0.1345856636762619, 0.09721890091896057, -0.21688100695610046, 0.21086542308330536, 0.027158178389072418, -0.05985556170344353, 0.0307273231446743, -0.15570352971553802, -0.06450355052947998, 0.03250165283679962, 0.05240514501929283, -0.002083137631416321, 0.18935135006904602, 0.17768916487693787, -0.13302430510520935, -0.12906211614608765, 0.2831895351409912, -0.11259721219539642, 0.09959433227777481, 0.07138779014348984, 0.3778543472290039, -0.016027074307203293, 0.04240913689136505, -0.185845285654068, 0.38834941387176514, -0.033494140952825546, -0.1535857617855072, -0.05615893751382828, 0.037146493792533875, 0.21078629791736603, -0.07866286486387253, 0.11771713197231293, -0.20241066813468933, 0.404603511095047, 0.2778830826282501, 0.13934245705604553, 0.046453867107629776, -0.14051972329616547, -0.13912788033485413, 0.1452375054359436, 0.2266649603843689, 0.03354351222515106, -0.2681731581687927]"
DOID:1312,focal segmental glomerulosclerosis,20946,"[-0.030982136726379395, -0.01617775671184063, -0.2617085874080658, -0.0752229169011116, -0.18118438124656677, -0.11375490576028824, 0.1121692955493927, 0.22473382949829102, -0.35619157552719116, -0.06280526518821716, 0.10565872490406036, -0.05251334235072136, 0.250132292509079, 0.04468768835067749, 0.21920344233512878, 0.06100860983133316, 0.09256885945796967, 0.22084102034568787, -0.2761114537715912, -0.04548737406730652, 0.1903514415025711, -0.1726073920726776, 0.21080282330513, -0.11382648348808289, 0.044404905289411545, 0.08388817310333252, -0.05971718579530716, 0.3393862247467041, -0.040921323001384735, -0.3024272918701172, 0.05781431868672371, 0.040105290710926056, 0.3091616928577423, -0.14809668064117432, -0.0240944754332304, 0.33519604802131653, -0.29514962434768677, 0.026523586362600327, -0.01784302294254303, 0.20943379402160645, -0.024357518181204796, -0.4007231891155243, -0.044606175273656845, 0.014907007105648518, 0.2820756137371063, 0.40998178720474243, -0.18764816224575043, 0.2091084122657776, -0.4071696400642395, 0.10645970702171326, -0.00017549097537994385, 0.11556001752614975, 0.04115396738052368, -0.17294283211231232, -0.02921617031097412, -0.24913664162158966, -0.14172494411468506, 0.26900774240493774, 0.02318083867430687, 0.13810425996780396, 0.214266836643219, -0.1272592544555664, 0.1894412636756897, 0.22480835020542145]"
DOID:10283,prostate cancer,20949,"[0.054509714245796204, -0.13250049948692322, -0.08839742839336395, -0.07582633197307587, -0.0917801484465599, -0.10947777330875397, 0.2814675569534302, -0.15119484066963196, 0.02762940526008606, -0.1506269872188568, 0.03363144397735596, -0.13507287204265594, 0.16552703082561493, -0.16202840209007263, 0.1741977483034134, 0.0234599057585001, 0.0649225264787674, 0.18127162754535675, 0.0011361390352249146, -0.2655220627784729, 0.13347777724266052, -0.21806229650974274, 0.3450930416584015, 0.0035772770643234253, 0.12796743214130402, -0.24156589806079865, -0.17553076148033142, -0.14523375034332275, 0.01680828630924225, -0.30477067828178406, -0.0439983569085598, -0.06781520694494247, 0.21765868365764618, -0.18370388448238373, -0.03794378042221069, -0.02041688561439514, 0.28051310777664185, -0.07857021689414978, 0.15170525014400482, -0.00003865920007228851, -0.08264665305614471, -0.039358336478471756, -0.018508272245526314, -0.013306334614753723, -0.2864364683628082, 0.012784226797521114, -0.03897787258028984, -0.17745041847229004, -0.04947756230831146, 0.050547774881124496, -0.0692070946097374, -0.09461842477321625, -0.021665647625923157, -0.357621967792511, 0.01738583855330944, 0.07912731170654297, 0.006181258242577314, 0.27697694301605225, 0.23486337065696716, 0.15783439576625824, -0.027259856462478638, 0.003803770989179611, 0.1594536006450653, -0.08901756256818771]"
DOID:1790,malignant mesothelioma,20994,"[0.012556865811347961, 0.030142389237880707, -0.05492641031742096, 0.0045490562915802, -0.0754789486527443, -0.2846267819404602, -0.10631759464740753, -0.09155473113059998, 0.1283622682094574, 0.05672077834606171, 0.040683284401893616, -0.06105276942253113, -0.14685708284378052, -0.17451009154319763, -0.2105816900730133, 0.17597103118896484, -0.21789418160915375, 0.009385429322719574, -0.07367512583732605, -0.1168082058429718, 0.056122153997421265, -0.32898473739624023, 0.07521607726812363, -0.15633095800876617, -0.1324298083782196, 0.06143053248524666, -0.024867013096809387, 0.2003209888935089, -0.08663323521614075, -0.2511524558067322, -0.12847375869750977, -0.29169923067092896, -0.08650022745132446, -0.2932671010494232, 0.008211314678192139, 0.23164980113506317, -0.0671732947230339, -0.0720578283071518, 0.2915003299713135, 0.023612961173057556, 0.056677013635635376, 0.046504177153110504, -0.03188203275203705, 0.13920199871063232, 0.1310751736164093, 0.04264089837670326, 0.017437659204006195, 0.3323194980621338, -0.30669066309928894, 0.2851565182209015, -0.09631988406181335, 0.09709598869085312, 0.10599516332149506, 0.020603284239768982, 0.2291700392961502, 0.040349312126636505, 0.21948611736297607, 0.23052987456321716, -0.20131748914718628, 0.2733260989189148, -0.03352122753858566, -0.3878898620605469, -0.0265389122068882, 0.09025773406028748]"
DOID:11920,tracheal cancer,15520,"[0.0, -0.19245009124279022, -0.19245009124279022, 0.2357022613286972, 0.2357022613286972, 0.0, 0.0, 0.0, -0.4281523525714874, 0.0, 0.0, -0.2357022613286972, 0.0, 0.19245009124279022, 0.0, -0.2357022613286972, 0.4281523525714874, 0.0, 0.19245009124279022, 0.19245009124279022, -0.19245009124279022, 0.0, 0.19245009124279022, 0.0, 0.0, 0.19245009124279022, 0.19245009124279022, 0.19245009124279022, -0.2357022613286972, 0.19245009124279022, 0.0, 0.0, 0.0, 0.19245009124279022, 0.0, 0.0, 0.0, 0.19245009124279022, 0.2357022613286972, 0.2357022613286972, 0.19245009124279022, -0.19245009124279022, 0.19245009124279022, -0.04325217008590698, 0.2357022613286972, 0.0, -0.2357022613286972, -0.2357022613286972, 0.19245009124279022, 0.0, 0.04325217008590698, 0.2357022613286972, 0.04325217008590698, 0.0, 0.0, 0.04325217008590698, 0.0, -0.19245009124279022, -0.19245009124279022, -0.19245009124279022, 0.19245009124279022, 0.0, -0.2357022613286972, 0.0]"
DOID:8986,narcolepsy,21074,"[-0.2626534104347229, -0.20774872601032257, 0.17783862352371216, 0.06525219231843948, 0.10990536212921143, 0.15975962579250336, -0.1771412342786789, 0.22954517602920532, -0.08884486556053162, -0.0011988580226898193, 0.0514439158141613, 0.03435216844081879, 0.062263354659080505, 0.09653181582689285, 0.061016008257865906, 0.5625820159912109, -0.27869629859924316, -0.1557033658027649, -0.11336959898471832, -0.05137607455253601, -0.15285663306713104, -0.15305662155151367, 0.074813611805439, -0.05795946717262268, -0.025783708319067955, -0.03615521639585495, 0.0035447292029857635, 0.2990488111972809, 0.2761937379837036, -0.013468436896800995, 0.22258588671684265, 0.042906396090984344, -0.017137229442596436, -0.19035394489765167, -0.035928960889577866, -0.050026122480630875, 0.05381493270397186, 0.3386441171169281, 0.032857462763786316, 0.3743828535079956, 0.20764413475990295, 0.2117287814617157, 0.2040197253227234, 0.0855846107006073, -0.15987573564052582, -0.018516629934310913, 0.08067601919174194, 0.2294328212738037, 0.26464369893074036, -0.0009661242365837097, 0.026687774807214737, 0.08177150040864944, -0.028724024072289467, -0.06320609897375107, 0.18126222491264343, -0.33772772550582886, -0.0396275594830513, -0.21015316247940063, 0.04529094696044922, 0.02516721747815609, -0.06675213575363159, 0.1879563331604004, -0.18137620389461517, -0.08402100950479507]"
DOID:3277,thymus cancer,21052,"[0.3763459324836731, -0.42668741941452026, 0.3537491261959076, 0.07865507155656815, -0.22709184885025024, 0.058877333998680115, 0.49278485774993896, -0.022650718688964844, -0.03620121628046036, -0.05441588535904884, 0.06360350549221039, -0.12084878981113434, -0.22012700140476227, 0.14034828543663025, -0.012737270444631577, -0.03803446143865585, 0.13936926424503326, -0.2701165974140167, -0.034660473465919495, 0.041416775435209274, -0.21610760688781738, -0.4713298976421356, -0.13994859158992767, -0.13139478862285614, 0.006783589720726013, 0.04748953506350517, -0.11861510574817657, 0.03261478245258331, -0.024704709649086, -0.12229880690574646, -0.013661393895745277, 0.08530975878238678, -0.1293795257806778, -0.046975791454315186, -0.16866272687911987, -0.15940701961517334, -0.00649978406727314, 0.041545167565345764, -0.343028724193573, -0.0621638149023056, -0.3410952389240265, -0.3581181764602661, 0.21407337486743927, 0.05717862769961357, 0.0502217598259449, 0.031993214040994644, 0.2198827713727951, -0.011898338794708252, 0.08128692209720612, -0.06344232708215714, -0.007652699016034603, -0.03229893743991852, -0.02388114482164383, -0.03297656029462814, 0.13450032472610474, 0.09467217326164246, 0.04606958106160164, 0.11065609753131866, 0.004736017435789108, 0.14706888794898987, -0.017530959099531174, 0.47588542103767395, 0.10486537963151932, 0.06868195533752441]"
DOID:90,degenerative disc disease,20962,"[-0.03044848144054413, 0.1662609577178955, 0.006228145211935043, 0.08118325471878052, 0.15186509490013123, 0.0003323405981063843, -0.02948627434670925, 0.09190383553504944, -0.2325572669506073, 0.1781873255968094, -0.18822787702083588, -0.015019102022051811, 0.41225844621658325, -0.1522447019815445, -0.05794219672679901, -0.004837729036808014, 0.31639546155929565, -0.000306607224047184, 0.17972387373447418, 0.19634634256362915, -0.24848739802837372, -0.0381455272436142, -0.018441341817378998, 0.17572003602981567, 0.0013326257467269897, 0.1295281946659088, -0.10448315739631653, -0.034221939742565155, -0.02839970961213112, -0.2253464013338089, 0.024329518899321556, 0.3000170588493347, 0.06814180314540863, 0.10118884593248367, -0.031342800706624985, 0.09744047373533249, 0.0666830837726593, 0.05358676612377167, -0.0416555292904377, -0.35328203439712524, 0.22131720185279846, -0.23715437948703766, 0.16204974055290222, -0.1121932864189148, -0.0009205183014273643, -0.11406964808702469, -0.06657293438911438, 0.08437749743461609, 0.06758425384759903, -0.052040982991456985, -0.02229936234652996, -0.12298712879419327, 0.1519365906715393, -0.08059263229370117, 0.3883235454559326, 0.30761608481407166, 0.3394264280796051, -0.024904390797019005, 0.09200292825698853, 0.045317865908145905, 0.059314943850040436, 0.04485199227929115, 0.17653051018714905, 0.054151955991983414]"
DOID:2596,larynx cancer,20994,"[0.11344628781080246, -0.23036043345928192, 0.06288841366767883, -0.17833125591278076, 0.105927474796772, -0.014320086687803268, 0.11018475890159607, -0.1085524782538414, 0.11411242187023163, 0.03496383875608444, -0.09049146622419357, 0.030412033200263977, 0.1882953643798828, 0.18799707293510437, -0.10949470102787018, 0.10807004570960999, 0.2026636153459549, -0.3241519629955292, -0.0154888816177845, 0.07474018633365631, -0.05826708301901817, -0.22441928088665009, 0.19990050792694092, 0.05848274379968643, 0.09835081547498703, -0.030970819294452667, 0.07190613448619843, -0.047148749232292175, 0.09172496199607849, -0.09666206687688828, -0.012879502959549427, -0.26791834831237793, -0.16704970598220825, -0.46347576379776, 0.20635131001472473, 0.19367724657058716, -0.22275559604167938, 0.10248255729675293, -0.004035439342260361, 0.07579444348812103, -0.027511462569236755, 0.10693208873271942, 0.03543299436569214, -0.0030723726376891136, -0.14236736297607422, 0.004958305042237043, -0.3617779612541199, -0.01736113429069519, 0.3463252782821655, -0.10390321910381317, 0.10900797694921494, 0.0786672979593277, -0.12827879190444946, -0.2563016414642334, -0.12052002549171448, -0.17996951937675476, 0.21018365025520325, -0.22343392670154572, -0.06004278361797333, 0.19729949533939362, -0.10147128999233246, -0.004810846410691738, 0.1656055897474289, -0.11466216295957565]"
DOID:9744,type 1 diabetes mellitus,21074,"[-0.16869212687015533, -0.29312509298324585, 0.21608136594295502, -0.2712652087211609, -0.14048223197460175, -0.038891006261110306, 0.006247140467166901, -0.10535673052072525, -0.08061107993125916, 0.004189915955066681, 0.09141625463962555, -0.38214385509490967, -0.07481640577316284, -0.1601586490869522, -0.11308082193136215, 0.1059190034866333, 0.06675812602043152, -0.07598401606082916, -0.27558520436286926, -0.09093266725540161, -0.029611408710479736, -0.4542304277420044, -0.0610116608440876, 0.002425607293844223, 0.18361642956733704, 0.076998770236969, -0.035835251212120056, -0.23998521268367767, -0.05914616584777832, 0.0020210817456245422, 0.0652957558631897, 0.07064158469438553, 0.015208188444375992, -0.1817580759525299, -0.2258666455745697, -0.07838762551546097, 0.04964964836835861, 0.24964797496795654, -0.05300130322575569, -0.02953111007809639, -0.20833702385425568, -0.35840940475463867, 0.10229407250881195, -0.05526960641145706, -0.190077006816864, 0.022062629461288452, -0.17346863448619843, 0.3633056879043579, 0.12277311086654663, -0.02947014942765236, -0.057453010231256485, -0.03504257649183273, 0.17987848818302155, -0.17196203768253326, 0.16255652904510498, 0.04607929289340973, -0.16977204382419586, 0.219806969165802, 0.05896918475627899, 0.23967769742012024, 0.38958585262298584, -0.1437881737947464, 0.14233389496803284, -0.17817379534244537]"
DOID:8577,ulcerative colitis,21074,"[-0.24003425240516663, -0.02071487531065941, 0.34839317202568054, -0.14868205785751343, -0.2917962968349457, -0.2175714373588562, 0.019456470385193825, 0.016198892146348953, 0.19973307847976685, -0.0976797342300415, -0.0943407267332077, -0.13764579594135284, 0.16994762420654297, -0.5512579679489136, -0.009202130138874054, -0.08037362992763519, -0.12877921760082245, -0.2757027745246887, -0.18892104923725128, -0.17774264514446259, 0.03032591938972473, -0.25748491287231445, -0.07685074210166931, 0.35603731870651245, 0.12425942718982697, -0.2450156956911087, 0.10550900548696518, 0.3504045605659485, -0.055973976850509644, -0.21698147058486938, -0.09178484231233597, 0.05855788290500641, 0.21955034136772156, -0.23874744772911072, -0.12066709995269775, 0.025692569091916084, -0.11113801598548889, 0.4001653790473938, -0.23374609649181366, 0.15143932402133942, 0.18345461785793304, -0.32338747382164, -0.0017920918762683868, 0.0010340288281440735, -0.012760674580931664, -0.16306264698505402, -0.35374191403388977, 0.23983213305473328, -0.11799164116382599, -0.060745641589164734, 0.0038609039038419724, 0.011549120768904686, 0.2673281133174896, -0.3570602834224701, -0.1050155833363533, -0.04668090492486954, -0.05797344446182251, -0.02640663832426071, -0.0063115814700722694, 0.17117191851139069, 0.02521168440580368, -0.1777607649564743, 0.021934431046247482, -0.29046565294265747]"
DOID:184,bone cancer,21052,"[0.23157596588134766, -0.011680889874696732, 0.07287876307964325, 0.013279618695378304, 0.1402987688779831, 0.08934400230646133, 0.09576773643493652, 0.00024387426674365997, 0.19547247886657715, 0.12455907464027405, -0.09821659326553345, -0.37865421175956726, -0.09065057337284088, -0.07725110650062561, -0.20829860866069794, 0.0597103051841259, 0.2632223069667816, 0.15688294172286987, -0.27040064334869385, -0.27345895767211914, 0.12621913850307465, -0.3658635914325714, -0.18389058113098145, 0.0715579241514206, 0.14346963167190552, 0.1789875030517578, -0.0052198003977537155, -0.02499322220683098, -0.20637084543704987, -0.32637497782707214, -0.0710446909070015, -0.32722562551498413, 0.27055269479751587, -0.002236275002360344, 0.04652188718318939, 0.2192085236310959, 0.2174384593963623, 0.3167659342288971, -0.1464240401983261, 0.13215050101280212, 0.005933445878326893, -0.0019514592131599784, -0.1482170671224594, -0.07521742582321167, -0.015571601688861847, 0.24509383738040924, 0.02354314550757408, 0.07146012783050537, -0.2373592108488083, 0.035248301923274994, 0.0019660270772874355, 0.05525274574756622, 0.2414044290781021, -0.024895770475268364, 0.04908805340528488, -0.03430519998073578, 0.20396298170089722, 0.28170743584632874, -0.0979384109377861, -0.0833924412727356, -0.11434578895568848, 0.09959036856889725, 0.13396257162094116, 0.04057613015174866]"
DOID:10608,celiac disease,21074,"[-0.24695007503032684, 0.11528978496789932, 0.3742329478263855, -0.1311490386724472, -0.226639986038208, -0.17350634932518005, 0.15633955597877502, 0.11173456907272339, 0.007899949327111244, -0.04411838948726654, -0.12432624399662018, -0.2886119782924652, -0.10333580523729324, -0.11603081226348877, -0.06524050980806351, -0.0010469481348991394, -0.013067614287137985, -0.3232506215572357, -0.08228223770856857, 0.06958095729351044, 0.07740714401006699, -0.18791168928146362, -0.33371806144714355, -0.10871872305870056, -0.011427931487560272, 0.2646932303905487, -0.2033742517232895, -0.1280217170715332, -0.0012782178819179535, -0.11571468412876129, -0.07781544327735901, -0.06373918801546097, 0.29716384410858154, -0.127389058470726, -0.4427700638771057, -0.0933697298169136, -0.0914839431643486, 0.24844981729984283, -0.33798325061798096, -0.039301395416259766, -0.2672319710254669, -0.34675952792167664, 0.058702290058135986, -0.19569823145866394, -0.20016348361968994, -0.04831458255648613, -0.30313706398010254, 0.11893628537654877, 0.01966972090303898, -0.09160061925649643, -0.045089688152074814, 0.08331029117107391, 0.24410896003246307, -0.20433056354522705, 0.28302979469299316, -0.021013833582401276, 0.09769243001937866, -0.1407485157251358, -0.1355336308479309, 0.18575957417488098, 0.17418111860752106, -0.015360534191131592, 0.03183169290423393, -0.13522091507911682]"
DOID:12849,autistic disorder,21020,"[0.15380771458148956, 0.14447221159934998, 0.09545455873012543, -0.2107560783624649, 0.09009837359189987, 0.11695107072591782, -0.08402545750141144, 0.22437620162963867, -0.12020988017320633, -0.26712676882743835, 0.18893639743328094, -0.2710608243942261, -0.48773255944252014, -0.13024543225765228, -0.05499916523694992, 0.08653081953525543, 0.2615194022655487, -0.08345736563205719, 0.17373104393482208, -0.09421680867671967, 0.0872289389371872, 0.06777244806289673, -0.204096257686615, 0.03952286019921303, -0.21877765655517578, 0.16419006884098053, -0.10442381352186203, 0.2199089229106903, 0.08330892026424408, 0.022622108459472656, -0.12020884454250336, -0.038271162658929825, 0.29052913188934326, 0.12362968176603317, 0.25372645258903503, -0.1082068532705307, 0.02211017534136772, 0.01459832489490509, -0.26449304819107056, -0.13506291806697845, 0.027056146413087845, -0.045779675245285034, 0.007432620972394943, 0.1343788206577301, -0.04217489808797836, -0.2857947051525116, -0.10481433570384979, -0.07056574523448944, -0.16936182975769043, 0.21095462143421173, 0.16732722520828247, 0.1379300206899643, 0.16399699449539185, -0.06379326432943344, 0.11886925995349884, 0.0010428018867969513, -0.05843658000230789, -0.20539161562919617, -0.02417287416756153, -0.03458424285054207, 0.01217095647007227, 0.003184801898896694, -0.1384297013282776, -0.2841480076313019]"
DOID:3083,chronic obstructive pulmonary disease,21074,"[-0.21482165157794952, -0.06675782054662704, 0.3027464747428894, -0.026601972058415413, -0.09567174315452576, -0.07979878783226013, 0.012859707698225975, -0.17389681935310364, 0.014597252011299133, -0.06610321253538132, 0.09264333546161652, -0.4297046661376953, 0.04257150739431381, -0.149143248796463, 0.16159525513648987, 0.35240083932876587, 0.002467159181833267, -0.27751424908638, -0.2632830739021301, -0.12733635306358337, 0.34721219539642334, -0.45904672145843506, -0.05023025721311569, 0.10731997340917587, -0.021425005048513412, 0.04538622498512268, -0.16806116700172424, -0.26945286989212036, -0.052609723061323166, 0.2050025910139084, 0.1054283156991005, -0.1341763734817505, 0.14309918880462646, 0.37196946144104004, -0.04073064774274826, -0.20129750669002533, 0.05049247294664383, -0.15384647250175476, -0.022666696459054947, -0.32780182361602783, 0.13962380588054657, -0.1599724292755127, -0.26262545585632324, 0.11567233502864838, -0.15103955566883087, -0.29573699831962585, 0.08984316140413284, 0.024299636483192444, -0.20044438540935516, 0.1255132108926773, 0.22195562720298767, -0.09816242754459381, -0.049263931810855865, 0.12017038464546204, -0.01942688226699829, 0.08748655021190643, -0.31850314140319824, 0.46506017446517944, 0.17944714426994324, 0.2771308124065399, 0.12791192531585693, -0.16199542582035065, 0.241737961769104, -0.15246230363845825]"
DOID:11949,Creutzfeldt-Jakob disease,21074,"[0.35918474197387695, -0.054832857102155685, -0.05940668657422066, -0.0752672329545021, 0.09287367761135101, -0.18663977086544037, -0.09582933783531189, 0.13015782833099365, -0.21214714646339417, 0.10304301977157593, -0.25802886486053467, 0.0661497637629509, 0.1354251503944397, 0.06319074332714081, 0.18613898754119873, -0.07523292303085327, -0.3122634291648865, -0.008514844812452793, 0.03882204741239548, -0.08054272830486298, -0.20314688980579376, -0.2795293927192688, 0.4721236824989319, -0.03687663376331329, -0.17070196568965912, 0.08406880497932434, -0.24214625358581543, -0.5430954694747925, 0.1059122085571289, -0.15770523250102997, -0.051821473985910416, -0.01866893284022808, -0.04655172675848007, -0.25869065523147583, 0.0670747458934784, -0.044019922614097595, -0.07863344252109528, -0.1394539475440979, 0.18093882501125336, -0.051679208874702454, 0.2742116153240204, 0.1690700203180313, 0.05681099370121956, 0.028970763087272644, -0.12561389803886414, 0.13629771769046783, 0.021492093801498413, -0.24781738221645355, 0.03505733236670494, 0.0135103240609169, 0.19371655583381653, 0.22854849696159363, -0.368155300617218, -0.01086452603340149, 0.14811183512210846, -0.08336837589740753, 0.04265880584716797, 0.16118913888931274, 0.05118440464138985, 0.1623108983039856, -0.06705956161022186, 0.06307022273540497, 0.07330210506916046, 0.017008692026138306]"
DOID:3121,gallbladder cancer,20994,"[0.1718573272228241, -0.44798094034194946, -0.10028420388698578, -0.381184846162796, -0.032963067293167114, 0.026253290474414825, 0.23880144953727722, -0.04483875259757042, 0.16422607004642487, 0.17875809967517853, 0.21693870425224304, -0.37420421838760376, 0.030936740338802338, -0.0998997837305069, 0.09719236940145493, 0.07396825402975082, 0.0270407535135746, 0.07804646342992783, -0.23610511422157288, -0.029161199927330017, 0.25680673122406006, -0.26415619254112244, 0.177914097905159, -0.3568275272846222, 0.06429620087146759, -0.2310231328010559, 0.017393484711647034, -0.3445073962211609, -0.07857499271631241, 0.24092045426368713, -0.11245152354240417, -0.2117980420589447, 0.21568864583969116, -0.20542338490486145, 0.22864462435245514, 0.028966553509235382, 0.0684497207403183, 0.18707916140556335, 0.13410326838493347, -0.08128393441438675, -0.18016330897808075, 0.026892147958278656, 0.11930539458990097, 0.2039898931980133, -0.35797348618507385, 0.14286945760250092, -0.14916382730007172, -0.03888978064060211, -0.24501168727874756, 0.05025487393140793, 0.2318161129951477, -0.37966763973236084, -0.37825262546539307, 0.1164756566286087, 0.2160428762435913, -0.0015526190400123596, 0.15302962064743042, 0.2469610571861267, 0.026927616447210312, 0.10356654226779938, 0.15722152590751648, 0.12964439392089844, -0.08277131617069244, -0.33871084451675415]"
DOID:2986,IgA glomerulonephritis,17892,"[-0.19636636972427368, -0.19270570576190948, 0.07678646594285965, -0.09393173456192017, -0.2071605771780014, -0.05765898525714874, 0.15859352052211761, 0.14730432629585266, -0.29775166511535645, 0.08315259218215942, -0.16109763085842133, 0.0627736821770668, 0.052126117050647736, -0.2787867784500122, 0.0683651715517044, 0.21469555795192719, 0.1386433094739914, -0.054176609963178635, -0.3008780777454376, -0.14342951774597168, -0.09926477074623108, -0.22725555300712585, -0.008040610700845718, -0.134750634431839, 0.1697217971086502, 0.20103368163108826, -0.27119681239128113, 0.007780266925692558, -0.08516384661197662, -0.021025998517870903, 0.1311294585466385, -0.06316432356834412, -0.17884448170661926, -0.1955769956111908, 0.0907597541809082, -0.08217509835958481, -0.2082916796207428, -0.1164579838514328, -0.08887933939695358, 0.11917106807231903, -0.10540582239627838, 0.0038317590951919556, -0.15598362684249878, 0.17543503642082214, 0.14550210535526276, 0.17066048085689545, 0.09391181170940399, -0.16478395462036133, -0.028689146041870117, 0.04389192909002304, 0.03965321555733681, 0.0017638842109590769, -0.21165385842323303, 0.047756895422935486, 0.14035898447036743, -0.10894516110420227, -0.0744052529335022, 0.33888423442840576, 0.29218342900276184, -0.03481503576040268, 0.06494772434234619, 0.1131005510687828, 0.1358759105205536, -0.4316491186618805]"
DOID:12306,vitiligo,21074,"[-0.05638676881790161, -0.48047134280204773, 0.1344398707151413, -0.2134575992822647, -0.2509573698043823, -0.23962445557117462, -0.05808405578136444, 0.028978057205677032, -0.19725601375102997, 0.24211251735687256, 0.06311406195163727, 0.09375235438346863, 0.1640494018793106, 0.15776176750659943, 0.20851218700408936, -0.10855182260274887, 0.027359364554286003, -0.20001499354839325, 0.08279713988304138, -0.12289152294397354, 0.1426575928926468, -0.3028954565525055, -0.057067178189754486, -0.0538199208676815, -0.10117918252944946, 0.03850388526916504, 0.17809109389781952, -0.07099039852619171, 0.21073505282402039, -0.214547798037529, 0.05129122734069824, 0.15376605093479156, 0.05724713206291199, 0.02658943086862564, -0.13200923800468445, -0.09681487828493118, -0.4566177725791931, -0.026888947933912277, -0.22741544246673584, 0.02398824691772461, 0.13600271940231323, -0.23584602773189545, 0.16795581579208374, -0.2172568142414093, -0.13038985431194305, 0.005322761833667755, -0.16557054221630096, 0.22885149717330933, -0.12274641543626785, -0.0948970690369606, 0.09362950921058655, 0.040671393275260925, 0.22317250072956085, -0.26884159445762634, 0.06324771046638489, -0.28775912523269653, 0.03507567197084427, 0.16341081261634827, -0.06482841819524765, -0.15708310902118683, 0.035839080810546875, 0.041550591588020325, -0.031022652983665466, -0.14272597432136536]"
DOID:13223,uterine fibroid,20949,"[0.19476152956485748, 0.026043500751256943, -0.17743238806724548, -0.3178093433380127, 0.010404800064861774, -0.0648108422756195, 0.1146293506026268, -0.025179259479045868, -0.09943452477455139, -0.11175650358200073, 0.027197331190109253, 0.2051885426044464, 0.2528682351112366, -0.19664286077022552, -0.01242595911026001, 0.0550379604101181, 0.3592575788497925, -0.01075581181794405, 0.06775465607643127, -0.1640496701002121, 0.24035611748695374, 0.22488944232463837, 0.14590942859649658, -0.12201431393623352, 0.1573677808046341, 0.1342339664697647, 0.11565657705068588, 0.20695364475250244, -0.1651681512594223, -0.0359753780066967, 0.5275053977966309, 0.122913658618927, 0.33069077134132385, -0.22620339691638947, 0.03669942542910576, 0.03653685003519058, 0.07104749977588654, -0.44961607456207275, -0.015861839056015015, -0.2577769458293915, 0.12709036469459534, -0.21928679943084717, 0.0984002873301506, 0.0292266383767128, 0.022715415805578232, 0.001886734738945961, -0.2869555950164795, -0.0171612948179245, 0.30093836784362793, 0.020756416022777557, -0.012237225659191608, -0.07302454113960266, -0.06789122521877289, 0.13290338218212128, -0.1663139909505844, 0.03413461521267891, 0.03899846598505974, -0.0183793306350708, 0.13248376548290253, 0.03267647698521614, 0.33976978063583374, -0.21344494819641113, 0.09910785406827927, 0.09925527125597]"
DOID:1319,brain cancer,21052,"[-0.05257783830165863, 0.04401330649852753, -0.0004892181605100632, -0.25154685974121094, -0.2790900766849518, -0.20990490913391113, 0.08859994262456894, -0.2288348376750946, -0.005522176623344421, 0.18414902687072754, -0.03193821758031845, -0.004711472429335117, -0.41664189100265503, -0.06255742162466049, -0.29738274216651917, -0.2607526481151581, -0.028393052518367767, 0.23457036912441254, -0.22646547853946686, -0.04527037590742111, -0.05591524392366409, 0.1149882897734642, -0.3053130507469177, -0.2638591527938843, 0.24329333007335663, 0.06842492520809174, 0.06400231271982193, -0.04890860989689827, 0.04243121296167374, -0.13651497662067413, 0.04818064719438553, -0.0467589870095253, 0.0002912282943725586, 0.08760469406843185, -0.1639997661113739, 0.1402963548898697, 0.05143529549241066, 0.011316938325762749, 0.26679614186286926, -0.2993454337120056, -0.4057219326496124, 0.012745970860123634, -0.05062251165509224, -0.0018462538719177246, -0.039346612989902496, 0.16631606221199036, 0.18659812211990356, 0.2543330490589142, 0.053645700216293335, -0.04123014211654663, -0.06564199924468994, -0.28389841318130493, 0.2559746503829956, -0.08892088383436203, 0.3127883970737457, -0.39543479681015015, 0.2639326751232147, -0.24954292178153992, 0.0937328040599823, -0.10145815461874008, 0.09428860992193222, 0.022553488612174988, -0.10491520911455154, -0.07596742361783981]"
